iter	Passed	Remaining
238	630	2009
239	632	2004
240	634	1999
241	636	1994
242	638	1989
243	640	1985
244	642	1980
245	651	1998
246	653	1993
247	656	1989
248	658	1984
249	660	1980
250	662	1976
251	664	1972
252	666	1967
253	668	1963
254	670	1958
255	672	1953
256	674	1949
257	676	1944
258	678	1940
259	680	1935
260	682	1931
261	684	1927
262	686	1922
263	688	1918
264	690	1914
265	692	1910
266	694	1906
267	696	1902
268	698	1897
269	700	1893
270	702	1889
271	704	1885
272	706	1881
273	708	1876
274	710	1873
275	712	1868
276	714	1864
277	716	1859
278	718	1855
279	719	1851
280	721	1847
281	723	1842
282	725	1839
283	727	1835
284	730	1831
285	731	1827
286	733	1822
287	735	1818
288	737	1814
289	739	1810
290	741	1807
291	744	1804
292	746	1801
293	748	1797
294	750	1793
295	752	1790
296	754	1786
297	757	1783
298	759	1780
299	761	1776
300	763	1773
301	765	1768
302	767	1764
303	769	1760
304	770	1756
305	772	1752
306	774	1748
307	776	1744
308	778	1741
309	780	1737
310	782	1734
311	799	1762
312	801	1759
313	803	1755
314	805	1751
315	807	1748
316	809	1744
317	811	1740
318	813	1736
319	815	1732
320	817	1728
321	819	1725
322	821	1722
323	823	1718
324	825	1714
325	827	1711
326	829	1707
327	831	1704
328	833	1700
329	835	1696
330	837	1693
331	839	1690
332	841	1686
333	844	1683
334	845	1679
335	848	1675
336	850	1672
337	852	1669
338	854	1665
339	856	1661
340	858	1658
341	859	1654
342	861	1650
343	863	1647
344	865	1643
345	867	1639
346	869	1636
347	871	1632
348	873	1628
349	875	1625
350	877	1621
351	879	1618
352	880	1614
353	883	1611
354	884	1607
355	886	1604
356	889	1601
357	890	1597
358	892	1594
359	894	1590
360	896	1587
361	898	1584
362	900	1580
363	902	1577
364	904	1573
365	906	1570
366	908	1567
367	910	1564
368	912	1560
369	914	1557
370	916	1553
371	918	1550
372	920	1546
373	922	1543
374	923	1539
375	925	1536
376	927	1533
377	930	1530
378	931	1526
379	933	1523
380	935	1520
381	937	1517
382	939	1513
383	941	1510
384	943	1507
385	945	1503
386	947	1500
387	949	1497
388	951	1494
389	953	1490
390	955	1487
391	956	1484
392	958	1481
393	960	1477
394	962	1474
395	964	1471
396	966	1468
397	968	1465
398	970	1461
399	972	1458
400	974	1455
401	976	1452
402	978	1449
403	980	1446
404	982	1442
405	984	1439
406	986	1436
407	988	1433
408	990	1430
409	992	1427
410	994	1424
411	996	1421
412	998	1418
413	1000	1415
414	1002	1412
415	1003	1409
416	1006	1406
417	1007	1403
418	1009	1400
419	1011	1397
420	1013	1394
421	1015	1391
422	1017	1388
423	1019	1385
424	1021	1382
425	1023	1379
426	1025	1376
427	1027	1373
428	1029	1370
429	1031	1367
430	1033	1364
431	1035	1361
432	1037	1358
433	1039	1355
434	1041	1352
435	1043	1350
436	1045	1347
437	1047	1344
438	1049	1340
439	1051	1337
440	1053	1334
441	1055	1331
442	1057	1329
443	1059	1326
444	1061	1323
445	1062	1320
446	1064	1317
447	1067	1314
448	1068	1311
449	1070	1308
450	1072	1305
451	1074	1303
452	1076	1300
453	1078	1297
454	1080	1294
455	1082	1291
456	1092	1297
457	1094	1294
458	1096	1292
459	1098	1289
460	1100	1286
461	1102	1283
462	1104	1280
463	1106	1277
464	1108	1275
465	1110	1272
466	1111	1269
467	1113	1266
468	1115	1263
469	1117	1260
470	1119	1257
471	1121	1254
472	1123	1251
473	1125	1248
474	1127	1245
475	1129	1243
476	1131	1240
477	1133	1237
478	1135	1234
479	1137	1232
480	1139	1229
481	1141	1226
482	1143	1223
483	1145	1221
484	1147	1218
485	1149	1215
486	1151	1212
487	1153	1210
488	1155	1207
489	1157	1204
490	1159	1202
491	1161	1199
492	1163	1196
493	1165	1194
494	1167	1191
495	1170	1188
496	1172	1186
497	1174	1183
498	1176	1180
499	1178	1178
500	1180	1175
501	1182	1172
502	1184	1170
503	1186	1167
504	1188	1164
505	1190	1162
506	1192	1159
507	1194	1156
508	1196	1154
509	1199	1152
510	1201	1149
511	1203	1146
512	1205	1144
513	1207	1141
514	1208	1138
515	1210	1135
516	1212	1132
517	1214	1130
518	1216	1127
519	1218	1124
520	1220	1122
521	1222	1119
522	1225	1117
523	1227	1114
524	1229	1112
525	1231	1109
526	1233	1107
527	1235	1104
528	1237	1102
529	1239	1099
530	1242	1097
531	1244	1094
532	1246	1091
533	1248	1089
534	1250	1086
535	1252	1084
536	1254	1081
537	1256	1079
538	1259	1076
539	1261	1074
540	1263	1071
541	1265	1069
542	1267	1067
543	1270	1064
544	1272	1061
545	1274	1059
546	1276	1056
547	1278	1054
548	1280	1051
549	1282	1049
550	1284	1046
551	1286	1044
552	1288	1041
553	1290	1039
554	1292	1036
555	1294	1033
556	1296	1031
557	1298	1028
558	1300	1026
559	1302	1023
560	1304	1021
561	1307	1018
562	1309	1016
563	1311	1013
564	1313	1011
565	1315	1008
566	1318	1006
567	1320	1003
568	1322	1001
569	1324	998
570	1326	996
571	1328	993
572	1330	991
573	1332	988
574	1334	986
575	1336	983
576	1338	981
577	1340	978
578	1342	976
579	1344	973
580	1346	970
581	1348	968
582	1350	966
583	1352	963
584	1354	961
585	1357	958
586	1359	956
587	1362	954
588	1364	951
589	1366	949
590	1368	947
591	1370	944
592	1372	942
593	1374	939
594	1376	937
595	1378	934
596	1380	932
597	1382	929
598	1384	927
599	1387	924
600	1389	922
601	1391	919
602	1393	917
603	1395	914
604	1397	912
605	1399	910
606	1401	907
607	1403	905
608	1405	902
609	1408	900
610	1410	898
611	1412	895
612	1414	893
613	1416	890
614	1418	888
615	1420	885
616	1422	883
617	1424	880
618	1426	878
619	1428	875
620	1430	873
621	1432	870
622	1434	868
623	1436	865
624	1438	863
625	1440	860
626	1442	858
627	1444	855
628	1446	853
629	1448	850
630	1450	848
631	1452	845
632	1454	843
633	1456	840
634	1458	838
635	1461	836
636	1463	833
637	1464	831
638	1466	828
639	1469	826
640	1471	823
641	1473	821
642	1475	819
643	1477	816
644	1479	814
645	1481	811
646	1483	809
647	1486	807
648	1488	804
649	1490	802
650	1492	799
651	1494	797
652	1496	795
653	1498	792
654	1500	790
655	1502	787
656	1504	785
657	1506	782
658	1508	780
659	1510	777
660	1512	775
661	1513	772
662	1515	770
663	1517	768
664	1519	765
665	1521	763
666	1523	760
667	1525	758
668	1527	755
669	1529	753
670	1531	750
671	1533	748
672	1535	746
673	1537	743
674	1539	741
675	1541	738
676	1543	736
677	1545	734
678	1547	731
679	1549	729
680	1551	726
681	1553	724
682	1555	722
683	1557	719
684	1559	717
685	1576	721
686	1578	719
687	1580	716
688	1582	714
689	1584	711
690	1586	709
691	1588	706
692	1590	704
693	1592	702
694	1594	699
695	1597	697
696	1599	695
697	1601	692
698	1603	690
699	1605	688
700	1607	685
701	1609	683
702	1612	681
703	1614	678
704	1616	676
705	1618	673
706	1620	671
707	1622	669
708	1624	666
709	1626	664
710	1629	662
711	1631	659
712	1633	657
713	1635	655
714	1637	652
715	1639	650
716	1642	648
717	1644	645
718	1646	643
719	1648	641
720	1650	638
721	1652	636
722	1654	633
723	1656	631
724	1658	629
725	1660	626
726	1662	624
727	1664	621
728	1665	619
729	1667	616
730	1669	614
731	1671	611
732	1673	609
733	1675	607
734	1677	604
735	1679	602
736	1681	600
737	1683	597
738	1685	595
739	1687	592
740	1689	590
741	1691	588
742	1693	585
743	1695	583
744	1697	581
745	1700	578
746	1702	576
747	1704	574
748	1706	571
749	1709	569
750	1710	567
751	1712	564
752	1714	562
753	1716	560
754	1718	557
755	1720	555
756	1722	553
757	1724	550
758	1727	548
759	1729	546
760	1731	543
761	1733	541
762	1735	539
763	1738	537
764	1740	534
765	1742	532
766	1744	529
767	1746	527
768	1748	525
769	1750	522
770	1752	520
771	1754	518
772	1757	516
773	1759	513
774	1761	511
775	1763	509
776	1765	506
777	1768	504
778	1770	502
779	1772	499
780	1774	497
781	1776	495
782	1778	492
783	1780	490
784	1782	488
785	1784	485
786	1786	483
787	1789	481
788	1791	478
789	1793	476
790	1794	474
791	1797	471
792	1799	469
793	1801	467
794	1803	465
795	1805	462
796	1807	460
797	1809	458
798	1812	455
799	1815	453
800	1817	451
801	1819	449
802	1821	446
803	1823	444
804	1825	442
805	1827	439
806	1829	437
807	1831	435
808	1834	433
809	1836	430
810	1838	428
811	1840	426
812	1842	423
813	1844	421
814	1846	419
815	1854	418
816	1856	415
817	1858	413
818	1860	411
819	1862	408
820	1864	406
821	1866	404
822	1868	401
823	1869	399
824	1871	397
825	1873	394
826	1875	392
827	1878	390
828	1879	387
829	1882	385
830	1884	383
831	1886	380
832	1888	378
833	1890	376
834	1892	374
835	1895	371
836	1897	369
837	1899	367
838	1901	364
839	1903	362
840	1905	360
841	1907	357
842	1909	355
843	1911	353
844	1913	350
845	1915	348
846	1917	346
847	1919	344
848	1921	341
849	1923	339
850	1925	337
851	1927	334
852	1929	332
853	1931	330
854	1933	327
855	1935	325
856	1937	323
857	1939	320
858	1941	318
859	1943	316
860	1945	314
861	1947	311
862	1949	309
863	1951	307
864	1953	304
865	1955	302
866	1958	300
867	1960	298
868	1962	295
869	1964	293
870	1966	291
871	1968	288
872	1970	286
873	1972	284
874	1974	282
875	1976	279
876	1978	277
877	1980	275
878	1982	272
879	1984	270
880	1986	268
881	1988	266
882	1990	263
883	1992	261
884	1994	259
885	1996	256
886	1998	254
887	2000	252
888	2002	250
889	2004	247
890	2006	245
891	2008	243
892	2010	240
893	2012	238
894	2013	236
895	2015	233
896	2017	231
897	2019	229
898	2021	227
899	2023	224
900	2025	222
901	2027	220
902	2029	218
903	2031	215
904	2033	213
905	2035	211
906	2037	208
907	2039	206
908	2041	204
909	2043	202
910	2045	199
911	2047	197
912	2049	195
913	2051	193
914	2053	190
915	2055	188
916	2057	186
917	2059	183
918	2061	181
919	2063	179
920	2065	177
921	2067	174
922	2069	172
923	2071	170
924	2073	168
925	2075	165
926	2077	163
927	2079	161
928	2082	159
929	2084	156
930	2086	154
931	2088	152
932	2090	150
933	2092	147
934	2094	145
935	2096	143
936	2098	141
937	2099	138
938	2101	136
939	2103	134
940	2105	132
941	2107	129
942	2109	127
943	2111	125
944	2113	123
945	2115	120
946	2117	118
947	2119	116
948	2121	114
949	2123	111
950	2125	109
951	2127	107
952	2129	105
953	2131	102
954	2134	100
955	2135	98
956	2138	96
957	2140	93
958	2142	91
959	2143	89
960	2145	87
961	2147	84
962	2150	82
963	2151	80
964	2153	78
965	2155	75
966	2158	73
967	2160	71
968	2161	69
969	2163	66
970	2165	64
971	2168	62
972	2169	60
973	2171	57
974	2173	55
975	2175	53
976	2177	51
977	2179	49
978	2181	46
979	2183	44
980	2185	42
981	2187	40
982	2189	37
983	2191	35
984	2193	33
985	2195	31
986	2197	28
987	2199	26
988	2201	24
989	2203	22
990	2205	20
991	2207	17
992	2209	15
993	2211	13
994	2213	11
995	2215	8
996	2217	6
997	2219	4
998	2221	2
999	2223	0
